Food,Nutr. Units / FU,Data Type,Unit,5th pctl,10th pctl,Mean,Median,90th pctl,95 pctl,North America,Latin America,Sub-Saharan Africa,Western Europe,Eastern Europe,Russia,Middle East / North Africa,South Asia,SE Asia,Oceania,World
Cane Sugar,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Beet Sugar,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Other Pulses,2.1,Stress-weighted water use,L/FU,0.00,0.00,22047.90,0.00,44742.60,104122.20,,,,,,,,,,,
Peas,2.2,Stress-weighted water use,L/FU,0.00,0.00,27671.60,0.00,226072.00,261382.00,,,,,,,,,,,
Nuts,1.6,Stress-weighted water use,L/FU,0.00,0.00,225244.80,126750.40,633076.80,791337.60,,,,,,,,,,,
Groundnuts,2.6,Stress-weighted water use,L/FU,2360.80,2418.00,61373.00,44046.60,193793.60,193793.60,,,,,,,,,,,
Soymilk,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Tofu,1.6,Stress-weighted water use,L/FU,12.80,12.80,5113.60,32.00,28227.20,31483.20,,,,,,,,,,,
Soybean Oil,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Palm Oil,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Sunflower Oil,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Rapeseed Oil,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Olive Oil,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Tomatoes,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Onions & Leeks,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Root Vegetables,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Brassicas,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Other Vegetables,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Citrus Fruit,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Bananas,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Apples,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Berries & Grapes,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Wine,12.5,Stress-weighted water use,L/FU,12.50,25.00,1150.00,62.50,1737.50,1862.50,,,,,,,,,,,
Other Fruit,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Coffee,67,Stress-weighted water use,L/FU,0.00,0.00,335.00,335.00,804.00,804.00,,,,,,,,,,,
Dark Chocolate,20,Stress-weighted water use,L/FU,0.00,80.00,2880.00,220.00,1620.00,5920.00,,,,,,,,,,,
Bovine Meat (Beef herd),2,Stress-weighted water use,L/FU,206.00,242.00,34838.00,442.00,90142.00,191370.00,,,,,,,,,,,
Bovine Meat (Dairy herd),2,Stress-weighted water use,L/FU,42730.00,46918.00,121384.00,123786.00,184360.00,217042.00,,,,,,,,,,,
Lamb & Mutton,2,Stress-weighted water use,L/FU,258.00,258.00,141854.00,258.00,540636.00,594980.00,,,,,,,,,,,
Pig Meat,1.6,Stress-weighted water use,L/FU,51.20,52.80,66123.20,53640.00,132900.80,150635.20,,,,,,,,,,,
Poultry Meat,1.7,Stress-weighted water use,L/FU,20.40,20.40,13916.20,328.10,48808.70,64824.40,,,,,,,,,,,
Milk,-,Stress-weighted water use,L/FU,,,,,,,,,,,,,,,,,
Cheese,2.2,Stress-weighted water use,L/FU,1731.40,1922.80,180195.40,80172.40,716337.60,787976.20,,,,,,,,,,,
Eggs,1.1,Stress-weighted water use,L/FU,405.90,409.20,17826.60,18460.20,36215.30,38424.10,,,,,,,,,,,
Fish (farmed),2.3,Stress-weighted water use,L/FU,5559.10,5648.80,41926.70,8556.00,123645.70,134998.50,,,,,,,,,,,
Crustaceans (Farmed),1.5,Stress-weighted water use,L/FU,23355.00,23874.00,129240.00,49497.00,136206.00,1000081.50,,,,,,,,,,,
